name,url,description,datePublished,imagen,pais,Fuente
PRESIDENTE HERNÁNDEZ REITERA LIDERAZGO DE PAI QUE TIENE RECONOCIMIENTO INTERNACIONAL,https://ultimahora.hn/presidente-hernandez-reitera-liderazgo-de-pai-que-tiene-reconocimiento-internacional/,El personal de salud de los hospitales públicos y privados son parte de las 139 mil 200 dosis de la vacuna covid-19 que se esperan completar en marzo de las 424 mil asignadas para ser recibidas,19-03-2021 20:37,https://www.bing.com/th?id=OVFT.hi_PWCTbF7ceYeRTndMRrC,Chile,Ultima Hora
"HONDURAS / 1,100 MILLONES BOTADOS EN ELECCIONES QUE NO SIRVEN AL PUEBLO",http://www.web.ellibertador.hn/index.php/noticias/nacionales/2787-honduras-1-100-millones-botados-en-elecciones-que-no-sirven-al-pueblo,"Más de 1,100 millones de lempiras le ha costado al pueblo hondureño, el proceso electoral interno del pasado domingo 14 de marzo, cinco días después sigue sin haber ganadores claros, se acrecienta la",19-03-2021 22:30,https://www.bing.com/th?id=OVFT.kjivV6hQyMa23dbMhiAGAi,Chile,El Libertador
Honduras alcanza los 182 mil 357 contagios y 4 mil 422 decesos por COVID-19,https://proceso.hn/honduras-alcanza-los-182-mil-357-contagios-y-4-mil-422-decesos-por-covid-19/,"Asimismo, se informó de la recuperación de 97 pacientes en las últimas horas, ascendiendo a un total de 69 mil 105 personas que superaron la enfermedad.",20-03-2021 04:18,https://www.bing.com/th?id=OVFT.aGtRVacnLDCkLtnxQtf5VC,Chile,Proceso
Economía de Honduras se contrajo 6.3 % en enero por covid-19 y tormentas,https://www.laprensa.hn/honduras/1451172-410/econom%C3%ADa-honduras-contrajo-enero-covid-19-tormentas-,"Honduras registra por el momento 181.357 personas contagiadas de la covid-19, 4.422 fallecidas y 69.105 que han superado la enfermedad, según cifras oficiales.",20-03-2021 10:48,https://www.bing.com/th?id=OVFT.Z2n2c3wlbKKSIAtKloHvxC,Chile,La Prensa Chicos
MÉXICO FRENA EL TRÁNSITO DE ACTIVIDADES NO ESENCIALES REPORTA REPRESENTACIÓN DIPLOMATICA HONDUREÑA,https://ultimahora.hn/mexico-frena-el-transito-de-actividades-no-esenciales-reporta-representacion-diplomatica-hondurena/,"El abogado Raúl Matamoros, representante diplomático de Honduras en México, manifestó que México ... en la frontera con Estados Unidos para evitar el alto contagio del Covid-19”. Indicó que antes que el mandatario Joe Biden asumiera su cargo ...",20-03-2021 15:25,https://www.bing.com/th?id=OVFT.fsBzgMSACAxioWBbD8PGai,Chile,Ultima Hora
"La economía de Honduras se contrajo 6,3 % en enero por covid-19 y tormentas",https://www.latribuna.hn/2021/03/20/la-economia-de-honduras-se-contrajo-63-en-enero-por-covid-19-y-tormentas/,"La actividad económica de Honduras se contrajo 6,3 % en enero de 2021 debido al impacto de la crisis sanitaria",20-03-2021 16:41,https://www.bing.com/th?id=OVFT.GYhNybixfdwcbOcze-6jny,Chile,La Tribuna
Técnico de Haití: Culpo a la pandemia,https://www.diariomas.hn/2021/03/19/tecnico-de-haiti-se-pudo-hacer-el-fair-play/,"Webens Prinsime entrenador de la selección de Haití, lamentó lo sucedido con su equipo que jugó los primeros 24 minutos un jugador menos y sin su",20-03-2021 18:35,https://www.bing.com/th?id=OVFT.ey8Jj5pB6YFUFoL2TfFMIy,Chile,Mas
Honduras trabaja en la recuperación de sus efectivos pensando en El Salvador,https://www.diariomas.hn/2021/03/20/honduras-trabaja-en-la-recuperacion-de-sus-efectivos-pensando-en-el-salvador/,La selección nacional logró triunfo 3-0 el debut preolímpico frente a Haití y este día el cuerpo técnico aprovechó para hacer trabajos de piscina con,20-03-2021 19:00,https://www.bing.com/th?id=OVFT.3Jv6efVYe4jJBItvXH4NzS,Chile,Mas
"Honduras registra un total de 181,931 casos confirmados de covid-19",https://www.radiohrn.hn/honduras-registra-un-total-de-181931-casos-confirmados-de-covid-19,"Las autoridades del Sistema Nacional de Gestión de Riesgo (Sinager), reportó el sábado (20.03.2021) un total de 574 nuevos casos de covid-19 en Honduras. Por lo que, hasta esta fecha ya se contabiliza",20-03-2021 23:56,https://www.bing.com/th?id=OVFT.iZHulpcO2GYtwZPyX1hndC,Chile,Radio HRN
"Alcalde de El Rosario, Olancho, muere por covid-19",https://www.laprensa.hn/honduras/1451331-410/alcalde-rosario-olancho-jose-filander-martinez-muerte-pandemia-covid-honduras,"Olancho, Honduras. José Filander Martínez, actual alcalde del municipio de El Rosario, perdió la vida este domingo luego de luchar contra el covid-19 en un centro asistencial.",21-03-2021 08:33,https://www.bing.com/th?id=OVFT.CGwFwdm4XF7xh9JfYWGWFy,Chile,La Prensa Chicos
