Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
#DichoYHecho https://t.co/5KeMJv64A6,https://twitter.com/i/web/status/1373393873452597260,20/03/2021 15:59:50,Twitter Web App,2,37,Secretaría de Salud,15:59:50,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
#DichoYHecho https://t.co/j2BbW7C3B1,https://twitter.com/i/web/status/1373412388628750349,20/03/2021 17:13:24,Twitter Web App,5,37,Secretaría de Salud,17:13:24,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
#DichoYHecho https://t.co/OR7RVfyyJo,https://twitter.com/i/web/status/1373455470405550080,20/03/2021 20:04:36,Twitter Web App,8,38,Secretaría de Salud,20:04:36,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
COMUNICADO No.77 del Sistema Nacional de Gestión de Riesgos (SINAGER) con actualización casos de #Covid19 del 20 de… https://t.co/MgSgFRCD4s,https://twitter.com/i/web/status/1373475458357075973,20/03/2021 21:24:01,Twitter Web App,3,37,Secretaría de Salud,21:24:01,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
COMUNICADO No.78 del Sistema Nacional de Gestión de Riesgos (SINAGER) con actualización casos de #Covid19 del 21 de… https://t.co/Pp7AH3Bh2u,https://twitter.com/i/web/status/1373846704445923332,21/03/2021 21:59:13,Twitter Web App,2,18,Secretaría de Salud,21:59:13,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
COMUNICADO https://t.co/n1z7iz76gr,https://twitter.com/i/web/status/1373987268948545539,22/03/2021 07:17:47,Twitter Web App,1,19,Secretaría de Salud,07:17:47,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
"Las noticias más destacadas del lunes 22 de marzo de 2021.
#HondurasConHechos
#HechosParaUsted https://t.co/jzKMIl9Nm9",https://twitter.com/i/web/status/1373987646066802691,22/03/2021 07:19:16,Twitter Web App,1,15,Secretaría de Salud,07:19:16,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
"RT @campusvirtualsp: 📣 NUEVO curso virtual sobre Diagnóstico, tratamiento y prevención de intoxicaciones causadas por plaguicidas.  

👉🏿 Es…",https://twitter.com/i/web/status/1374006718783455233,22/03/2021 08:35:04,Twitter for iPhone,0,17,OPS/OMS,08:35:04,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
RT @OPSOMSPeru: La discriminación 🤯 contra la edad puede empeorar la salud física 🏃 y mental 🧘‍♂️ de personas de todas las edades. Estas ac…,https://twitter.com/i/web/status/1374008404637782019,22/03/2021 08:41:46,Twitter for iPhone,0,5,OPS/OMS,08:41:46,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMSPeru: #COVID19 Todos podemos ayudar a detener la difusión  de información incorrecta. 

Si ve contenido en línea que cree que es…",https://twitter.com/i/web/status/1374008453031690240,22/03/2021 08:41:57,Twitter for iPhone,0,6,OPS/OMS,08:41:57,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
